,Prod_ID,Material_Desc,Noun,Modifier,long_description,short_description,Manufacturer,Ref_no,exception,ACTION,AMPERAGE,API MATERIAL CLASS,API PERFORMANCE REQUIREMENT,API PRODUCT SPECIFICATION LEVEL,API TEMPERATURE CLASS,APPLICATION,APPROXIMATE LIFE HOURS,ARBOR,BALANCE,BASE,BLADE DIAMETER,BLOCK MATERIAL,BODY MATERIAL,BODY SIZE,BOLT HOLES,BOND/BACKING,BORE,BOTTOM CONNECTION,BOTTOM RATING,BOTTOM SIZE,BRAKE,BRISTLE MATERIAL,BRISTLE SIZE,BULB,CABLE LENGTH,CAGE MATERIAL,CAPACITANCE,CAPACITY,CAPILLARY LENGTH,CARTRIDGE,CASE MATERIAL,CASING MATERIAL,CELLS,CHART TRAVEL,CHOKE TYPE,CIRCUIT,CLASS,CLOSURE,COIL VOLTAGE,COILS,COLOR,COMPOSITION,CONDUCTOR SIZE,CONFIGURATION,CONNECTION,CONNECTION LOCATION,CONNECTION MATERIAL,CONNECTOR,CONTACT,CONTACT ARRANGEMENT,CONTAINER,CONTAINS A,CONTAINS B,CONTAINS C,CONTAINS D,CONTAINS E,CONTAINS F,CONTENT A,CONTENT B,CONTENT C,CONTENT D,CYLINDER,DEGREE,DESIGN DETAIL,DESIGN LENGTH,DESIGN RATING,DESIGNATION,DIAL,DIAL SIGNAL,DIAL SIZE,DIAMETER,DISPLACEMENT,DRIVER,DURATION,ELECTRICAL RATING,ELEMENT,ELEMENT MATERIAL,ENCLOSURE,ENDS,FILLED,FILLER MATERIAL,FILTERING RETENTION,FORM,FORMAT,FRAME,FREQUENCY,FUNCTION,GEAR RATIO,GRADE,GRADUATIONS,GRIT,GROOVE,HANDLE,HANDLE LENGTH,HANDLE MATERIAL,HEAD,HEAD ANGLE,HEAD MATERIAL,HEAD WEIGHT,HOUSING MATERIAL,I/O CAPACITY,INDUSTRY STANDARD,INLET CONNECTION,INLET SIZE,INNER RING MATERIAL,INSERT/LINING MATERIAL,INSERTION LENGTH,INSIDE DIAMETER,INTERNAL MATERIAL,INTERRUPTING RATING,JUNCTION,KEYS,KVA RATING,LENGTH,LINE,LOAD RATING,LOCATION,LUBRICATION,LUMENS,MATERIAL,MAXIMUM OVERALL LENGTH,MESH SIZE,MOUNT,NA,NACE STANDARD,NAME,NEMA/IEC,NEMA/IP RATING,NOMINAL SIZE,NUMBER OF GEARS,NUMBER OF VANES,OPENING DIAMETER,OPERATED,OPERATING VOLTAGE,OPERATION,OPERATOR,ORIFICE SIZE,OUTER RING MATERIAL,OUTLET CONNECTION,OUTLET SIZE,OUTPUT RATING,OUTSIDE DIAMETER,PARENT EQUIPMENT,PERFORATION SIZE,PHASE,PIPE SIZE,PITCH,PITCH DIAMETER,POLE,PORT,POSITION,POWER,POWER SOURCE,PRESSURE RANGE,PRESSURE RATING,PRIMARY VOLTAGE,PROBE DIAMETER,PROCESS,PROTOCOL,PUMP SIZE,PUMP STYLE,QTY,RADIAL CLEARANCE,RADIUS,RANGE,RATING,READOUT,REFRIGERANT,RESISTANCE,ROW,RPM RATING,SCALE,SCOPE,SEAL MATERIAL,SECONDARY VOLTAGE,SECTIONS,SERIES,SERVICE,SERVICE FACTOR,SET PRESSURE,SHAFT SIZE,SHANK,SHAPE,SHEATH DIAMETER,SHEATH MATERIAL,SHELF LIFE,SIZE,SIZE/CONNECTION,SKILLS REQUIRED,SOFTGOODS,SPECIFICATION,SPEED,SPOUT,STANDARDS,STEM LENGTH,STRUCTURE,STYLE,SUPPLY,SUPPLY RATING,TAPER,TAPER SIZE,TAPS,TASK EXCLUDE,TASK INCLUDE,TECHNIQUE,TEETH,TEMPERATURE RANGE,TEMPERATURE RATING,TERMINAL,TERMINATIONS,THICKNESS,THREADS,THRUST,TIP DIAMETER,TOLERANCE,TOP CONNECTION,TOP RATING,TOP SIZE,TRAVEL,TRIM,TUBE DIAMETER,TUBE LENGTH,TUBE MATERIAL,TURNS,TYPE,UOM,VALVE SIZE,VALVE STYLE,VIALS,VISIBLE LENGTH,VOLTAGE,VOLUME/CONTAINER,WATTAGE,WEIGHT,WIDTH,WINDING MATERIAL,WIRE,WIRE DIAMETER,WIRE SIZE,WORK WEIGHT
2612,3612,"TERMINAL
TYPE: SAKG-46/35 II
RATING: 365A,600V
CABLE SIZE: 150MM²(300AWG)
MANUFACTURER: WEIDMULLER
MFR.PART NO: 063792",TERMINAL,NO MODIFIER,"*** TERMINAL , NO MODIFIER *** 

TYPE : SAKG
","TERMINAL , NO MOD: SAKG",WEIDMULLER,"063792
",SAKG-46/35 II RATING 365A 600V CABLE SIZE 150MM² ( 300AWG ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAKG,,,,,,,,,,,,,,,
2613,3613,"PURGE CONTROL,EX-P
MANUFACTURER: ABB
MFR.PART NO: IMRV 100006P0003
EQUIP.MODEL NO: WMT-56-MA","CONTROL
NO",NO MODIFIER,,,ABB,"IMRV
",PURGE CONTROL EX-P : : 100006P0003 EQUIP.MODEL : WMT-56-MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,3614,"GASKET SET,HP/LP
MANUFACTURER: ALLWEILER
MFR.PART NO: 522975
EQUIPMENT MFR: DEMAG DELAVAL
EQUIP.MODEL NO: 06MH6A",GASKET,NO MODIFIER,"*** GASKET , NO MODIFIER *** 

","GASKET , NO MOD:",DEMAG DELAVAL,"522975
",SET HP/LP : ALLWEILER : : EQUIP.MODEL : 06MH6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2615,3615,"NIPPLE,PG9
MANUFACTURER: BRAN AND LUEBBE
MFR.PART NO: 801166
EQUIP.MODEL NO: OLE842-194-195",NIPPLE,NO MODIFIER,"*** NIPPLE , NO MODIFIER *** 

","NIPPLE , NO MOD:",BRAN AND LUEBBE,"801166
",PG9 : : EQUIP.MODEL : OLE842-194-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2616,3616,"SEAT RING
MANUFACTURER: YKV-VALTEK
MFR.PART NO: 001210-150-000
EQUIP.MODEL NO: MK1-06-15",SEAT,NO MODIFIER,"*** SEAT , NO MODIFIER *** 

","SEAT , NO MOD:",YKV-VALTEK,"001210-150-000
",RING : : EQUIP.MODEL : MK1-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2617,3617,"O-RING
INSIDE DIAMETER: 28.25MM(1.112IN)
OUTSIDE DIAMETER: 33.49MM(1.319IN)
THICKNESS: 2.62MM(0.103IN)
MATERIAL: VITON
DASH NO: 122
HARDNESS: 75 SH A
TEMPERATURE RANGE: -20 TO +200 DEG C
MANUFACTURER: MAPAG
MFR.PART NO: 277575
EQUIPMENT MFR: LINDE
EQUIP.MODEL NO: N265-DN150
THE ITEM NEEDS TO BE SUPPLIED WITH THE FOLLOWING:
-PRODUCTION DATE
-EXPIRY DATE
-MAXIMUM SHELF LIFE
NOTE: THE SUPPLIED ITEM SHOULD HAVE 80% SHELF LIFE","O
RING",NO MODIFIER,,,LINDE,"277575
",O-RING INSIDE DIAMETER : 28.25MM ( 1.112IN ) OUTSIDE DIAMETER : 33.49MM ( 1.319IN ) THICKNESS : 2.62MM ( 0.103IN ) MATERIAL : VITON DASH : 122 HARDNESS : 75 SH A TEMPERATURE RANGE : -20 TO +200 DEG C : MAPAG : : EQUIP.MODEL : N265-DN150 THE ITEM NEEDS TO BE SUPPLIED WITH THE FOLLOWING : -PRODUCTION DATE -EXPIRY DATE -MAXIMUM SHELF LIFE NOTE : THE SUPPLIED ITEM SHOULD HAVE 80 % SHELF LIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,3618,"CAP
FOR RELIEF VALVE
MANUFACTURER: BLACKMER
MFR.PART NO: 413200
EQUIPMENT MFR: BEST EQUIPMENT
EQUIP.MODEL NO: XL1.25",CAP,NO MODIFIER,"*** CAP , NO MODIFIER *** 

","CAP , NO MOD:",BEST EQUIPMENT,"413200
",FOR RELIEF VALVE : BLACKMER : : EQUIP.MODEL : XL1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2619,3619,"TANK LEVEL GAUGE SWITCH
SIZE: 20FT
MANUFACTURER: FW MURPHY
MFR.PART NO: OPLHFC-20
EQUIPMENT MFR: NAT-OILWELL
EQUIP.MODEL NO: 50-30-0659-D",TANK,NO MODIFIER,"*** TANK , NO MODIFIER *** 

SIZE : 20FT
","TANK , NO MOD: 20FT",NAT-OILWELL,"OPLHFC-20
",LEVEL GAUGE SWITCH FW MURPHY EQUIP.MODEL 50-30-0659-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2620,3620,"FILTER CAPACITOR
RATINGS: 120KMFD,50V
FOR CHARGER
MANUFACTURER: CPMC
MFR.PART NO: CAP-0001-0005
EQUIPMENT MFR: TIDELAND SIGNAL
EQUIP.MODEL NO: USG415-3PH50H24-60",FILTER,NO MODIFIER,"*** FILTER , NO MODIFIER *** 

","FILTER , NO MOD:",TIDELAND SIGNAL,"CAP-0001-0005
",CAPACITOR RATINGS : 120KMFD 50V FOR CHARGER : CPMC : : EQUIP.MODEL : USG415-3PH50H24-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2621,3621,"DISC INSERT
FOR PRESSURE RELIEF VALVE,SIZE: 6X8IN
MANUFACTURER: CROSBY
MFR.PART NO: 104303
EQUIP.MODEL NO: JBS-46-S4-K-SP6Q8
EQUIP.TAG NO: 10PRV-006B",DISC,VALVE,"*** DISC , VALVE *** 

PRESSURE RATING : VALVE,SIZE
VALVE STYLE : RELIEF
","DISC , VLV: VALVE,SIZE,RELIEF",CROSBY,"104303
",INSERT FOR 6X8IN EQUIP.MODEL JBS-46-S4-K-SP6Q8 EQUIP.TAG 10PRV-006B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VALVE,SIZE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,RELIEF,,,,,,,,,,,,
2622,3622,"O-RING
MANUFACTURER: YKV-VALTEK
MFR.ORIGINAL PART NO: 023194-661-000
MFR.REVISED PART NO: 023194.CTP.000
EQUIP.MODEL NO: MK1-25-08","O
RING
NO",NO MODIFIER,,,YKV-VALTEK,NA,O-RING : MFR.ORIGINAL : 023194-661-000 MFR.REVISED : 023194.CTP.000 EQUIP.MODEL : MK1-25-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,3623,"LIQUID STATE,
CONCENTRATION: 50%,
DENSITY: 1540 KG/M3
FOR UNITS 10, 19 & 29
EQUIPMENT: 10-T101
MATERIAL TO BE SUPPLIED WITH MATERIAL
SAFETY DATA SHEETS (MSDS)
MSDS MUST CONFORM TO ONE OF THE FOLLOWING
STANDARDS:
ANSI Z400-1993 HAZARDOUS INDUSTRIAL CHEMICALS
MATERIAL SAFETY DATA SHETS
ISO 11014-1994 SAFETY DATA SHEETS
FOR CHEMICAL PRODUCTS
ALL PACKAGING LABELING, CONTAINERS
MANIFESTS MUST CONFORM FULLY
WITH THE INTERNATIONAL MARITIME ORGANIZATION
DANGEROUS GOODS CODE UPON DELIVERY
TO  WAREHOUSE.",NO NOUN,NO MODIFIER,"*** NO NOUN , NO MODIFIER *** 

MATERIAL : TO
","NO NOUN , NO MOD: TO",NA,NA,LIQUID STATE CONCENTRATION 50 % DENSITY 1540 KG/M3 FOR UNITS 10 19 & 29 10-T101 BE SUPPLIED WITH SAFETY DATA SHEETS ( MSDS ) MSDS MUST CONFORM ONE OF THE FOLLOWING STANDARDS ANSI Z400-1993 HAZARDOUS INDUSTRIAL CHEMICALS SAFETY DATA SHETS ISO 11014-1994 SAFETY DATA SHEETS FOR CHEMICAL PRODUCTS ALL PACKAGING LABELING CONTAINERS MANIFESTS MUST CONFORM FULLY WITH THE INTERNATIONAL MARITIME ORGANIZATION DANGEROUS GOODS CODE UPON DELIVERY WAREHOUSE .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TO,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2624,3624,"O-RING
INSIDE DIAMETER: 38.80MM(1.528IN)
OUTSIDE DIAMETER: 44.80MM(1.764IN)
THICKNESS: 3.00MM(0.118IN)
MATERIAL: PTFE
COLOUR: WHITE
HARDNESS: 57 SH D
TEMPERATURE RANGE: -160 TO +200ºC
MANUFACTURER: MAPAG
MFR.PART NO: 412096
EQUIPMENT MFR: LINDE
EQUIP.MODEL NO: N563-DN200
THE ITEM NEEDS TO BE SUPPLIED WITH THE FOLLOWING:
-PRODUCTION DATE
-EXPIRY DATE
-MAXIMUM SHELF LIFE
NOTE: THE SUPPLIED ITEM SHOULD HAVE 80% SHELF LIFE","O
RING",NO MODIFIER,,,LINDE,"412096
",O-RING INSIDE DIAMETER : 38.80MM ( 1.528IN ) OUTSIDE DIAMETER : 44.80MM ( 1.764IN ) THICKNESS : 3.00MM ( 0.118IN ) MATERIAL : PTFE COLOUR : WHITE HARDNESS : 57 SH D TEMPERATURE RANGE : -160 TO +200ºC : MAPAG : : EQUIP.MODEL : N563-DN200 THE ITEM NEEDS TO BE SUPPLIED WITH THE FOLLOWING : -PRODUCTION DATE -EXPIRY DATE -MAXIMUM SHELF LIFE NOTE : THE SUPPLIED ITEM SHOULD HAVE 80 % SHELF LIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,3625,"MATERIAL,STUDBOLT: ASTM A193 GR.B7M
MATERIAL,NUT: ASTM A194 GR.2HM
THREAD,STUDBOLT: ASME B1.1,8UNC,2A
THREAD,NUT: HEAVY HEXAGONAL,8UNC,2B
NO.OF NUTS: 2
HARDNESS: AS PER ASTM A193
INSPECTION CERTIFICATE: ISO 10474-3.1B
MARKING, STUDBOLT: GRADE AND CERTIFIER'S
INDENTIFICATION SYMBOLS SHALL BE APPLIED TO
ONE END OF STUD 3/8IN DIA AND LARGER(IF
THE AVAILABLE AREA IS INADEQUATE,THE GRADE
SYMBOL MAY BE MARKED ON ONE END AND THE
CERTIFIER'S IDENTIFICATION SYMBOL
MARKED ON THE OTHER END) AND SHALL HAVE
A LINE UNDER THE GRADE SYMBOL FOR
GR.B7M,WHICH HAS BEEN 100% EVALUATED IN
CONFORMANCE WITH THE SPECIFICATION
NOMINAL DIA: 1IN
LENGTH: 170MM",MATERIAL,NO MODIFIER,"*** MATERIAL , NO MODIFIER *** 

","MATERIAL , NO MOD:",NA,NA,STUDBOLT : ASTM A193 GR.B7M NUT : ASTM A194 GR.2HM THREAD STUDBOLT : ASME B1.1 8UNC 2A THREAD NUT : HEAVY HEXAGONAL 8UNC 2B NO.OF NUTS : 2 HARDNESS : AS PER ASTM A193 INSPECTION CERTIFICATE : ISO 10474-3.1B MARKING STUDBOLT : GRADE AND CERTIFIER'S INDENTIFICATION SYMBOLS SHALL BE APPLIED TO ONE END OF STUD 3/8IN DIA AND LARGER ( IF THE AVAILABLE AREA IS INADEQUATE THE GRADE SYMBOL MAY BE MARKED ON ONE END AND THE CERTIFIER 'S IDENTIFICATION SYMBOL MARKED ON THE OTHER END ) AND SHALL HAVE A LINE UNDER THE GRADE SYMBOL FOR GR.B7M WHICH HAS BEEN 100 % EVALUATED IN CONFORMANCE WITH THE SPECIFICATION NOMINAL DIA : 1IN LENGTH : 170MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
2626,3626,"SEAT RING
GV03,T/N1.25
MATERIAL: SUS316
FOR VALVE,RATING: CL300
MANUFACTURER: YKV-VALTEK
MFR.ORIGINAL PART NO: 003003.150.000
MFR.REVISED PART NO: 126585.150.000
YKV KITZ PART NO: C212-7S01-20
EQUIP.MODEL NO: MK1-29-13
EQUIP.SERIAL NO: VHC987816-03-1
EQUIP.TAG NO: 19FV-42
ORIGINAL PO: P-2174-001-A",SEAT,VALVE,"*** SEAT , VALVE *** 

MATERIAL : SUS316
","SEAT , VLV: SUS316",YKV-VALTEK,NA,RING GV03 T/N1.25 FOR RATING CL300 MFR.ORIGINAL 003003.150.000 MFR.REVISED 126585.150.000 YKV KITZ C212-7S01-20 EQUIP.MODEL MK1-29-13 EQUIP.SERIAL VHC987816-03-1 EQUIP.TAG 19FV-42 ORIGINAL PO P-2174-001-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUS316,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,
2627,3627,"CHECK VALVE
FOR PEDESTAL CRANE
MANUFACTURER: WEATHERFORD
MFR.PART NO: 482039-001
EQUIPMENT MFR: WEATHERFORD
EQUIP.MODEL NO: OM1600
TEST CERTIFICATE: EN 10204- 3.1","VALVE
PEDESTAL
CRANE
NO",CHECK,,,WEATHERFORD,"482039-001
",CHECK VALVE FOR PEDESTAL CRANE : : : EQUIP.MODEL : OM1600 TEST CERTIFICATE : EN 10204- 3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,3628,"SPIRAL WOUND GASKET
NO INNER/OUTER RING
INNER DIAMETER: 470MM
OUTER DIAMETER: 488MM
THICKNESS: 4.5MM
WINDING MATERIAL: SS316
FILLER MATERIAL: FLEXIBLE GRAPHITE
MANUFACTURER: SHIN NIPPON
MFR.PART NO: PA300022-L13-C1-X
EQUIP.MODEL NO: 6X18SVCN7TH-A8","GASKET
NO
RING",SPIRAL WOUND,,,SHIN NIPPON,"PA300022-L13-C1-X
",SPIRAL WOUND GASKET INNER/OUTER RING INNER DIAMETER : 470MM OUTER DIAMETER : 488MM THICKNESS : 4.5MM WINDING MATERIAL : SS316 FILLER MATERIAL : FLEXIBLE GRAPHITE : : EQUIP.MODEL : 6X18SVCN7TH-A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,3629,"O-RING
MANUFACTURER: INDUFIL
EQUIPMENT MFR. DEMAG
EQUIP.MODEL NO: 06MH6A

THIS MATERIAL SHOULD BE SUPPLIED WITH:
PRODUCTION DATE (Should be less than 6 months, when delivered)
STORAGE CONDITION / PRESERVATION REQUIREMENT
MAXIMUM SHELF LIFE
EXPIRY DATE","O
RING
EQUIPMENT
EQUIP
NO",NO MODIFIER,,,INDUFIL,NA,O-RING : . DEMAG EQUIP.MODEL : 06MH6A THIS MATERIAL SHOULD BE SUPPLIED WITH : PRODUCTION DATE ( SHOULD BE LESS THAN 6 MONTHS WHEN DELIVERED ) STORAGE CONDITION / PRESERVATION REQUIREMENT MAXIMUM SHELF LIFE EXPIRY DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,3630,"SHAFT LABYRINTH,STAGE 4-5
FOR FUEL GAS COMPRESSOR
MANUFACTURER: MHI
MFR.PART NO: 2411-13
MFR.DRAWING NO: 79940438D324
EQUIP.MODEL NO: 9H-7C
EQUIP.SERIAL NO: C-174,C-211
EQUIP.TAG NO: 18/28-K001",SHAFT,NO MODIFIER,"*** SHAFT , NO MODIFIER *** 

","SHAFT , NO MOD:",MHI,"2411-13
",LABYRINTH STAGE 4-5 FOR FUEL GAS COMPRESSOR : : MFR.DRAWING : 79940438D324 EQUIP.MODEL : 9H-7C EQUIP.SERIAL : C-174 C-211 EQUIP.TAG : 18/28-K001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
